asset,timeframe,strategy,direction,entry,sl,tp,grid_level,level_idx,size,risk,rr,entry_bar,entry_time,regime,range_pct,exit,exit_time,close_reason,pnl,pnl_pct,balance_after,drawdown_pct
BTC,15m,GRID_BOT,SELL,85162.9,85352.77226667,84846.60666667,85226.23086667,5,0.10533397188942648,20.0,3.0,190,2025-04-19 07:15:00+00:00,RANGE,0.010982,85352.77226667,2025-04-19 08:30:00+00:00,SL,-20.0,-0.22295185658309552,9980.0,0.2
BTC,15m,GRID_BOT,SELL,85170.0,85347.51874667,84898.96242667,85235.37966667,4,0.11243882899367648,19.96,3.0,206,2025-04-19 11:15:00+00:00,RANGE,0.009228,85347.51874667,2025-04-19 13:15:00+00:00,SL,-19.96,-0.20842872686392022,9960.04,0.3995999999999913
BTC,15m,GRID_BOT,SELL,85107.6,85317.40472,84792.86824,85186.2706,3,0.09494581437443349,19.920080000000002,3.0,254,2025-04-19 23:15:00+00:00,RANGE,0.011459,85317.40472,2025-04-20 01:15:00+00:00,SL,-19.920080000000002,-0.2465170208066026,9940.119920000001,0.59880079999999
BTC,15m,GRID_BOT,SELL,85322.1,85535.96158667,85011.42510667,85404.82746667,4,0.09314473117950778,19.920080000000002,3.0,245,2025-04-19 21:00:00+00:00,RANGE,0.011459,85011.42510667,2025-04-20 06:30:00+00:00,TP,28.937729423446164,0.36412007361517285,9969.057649423446,0.30942350576553507
BTC,15m,GRID_BOT,SELL,84388.3,84595.13988,84053.44596,84459.7164,3,0.096393960868895,19.938115298846892,3.0,318,2025-04-20 15:15:00+00:00,RANGE,0.012107,84595.13988,2025-04-20 16:15:00+00:00,SL,-19.938115298846892,-0.24510492568282513,9949.1195341246,0.5088046587539975
BTC,15m,GRID_BOT,SELL,84578.7,84765.71092,84344.37724,84660.3775,5,0.10640148216076972,19.8982390682492,3.0,328,2025-04-20 17:45:00+00:00,RANGE,0.00853,84765.71092,2025-04-20 20:00:00+00:00,SL,-19.8982390682492,-0.2211087661550729,9929.221295056352,0.7077870494364834
BTC,15m,GRID_BOT,SELL,87383.8,87614.15947333,87007.94531333,87462.60593333,4,0.08620632050875027,19.858442590112706,3.0,391,2025-04-21 09:30:00+00:00,RANGE,0.013468,87007.94531333,2025-04-21 11:15:00+00:00,TP,32.40104958379039,0.43011941191617364,9961.622344640142,0.3837765535985818
BTC,15m,GRID_BOT,SELL,86921.9,87120.23512,86521.96504,86970.6676,2,0.10045242965179312,19.923244689280285,3.0,399,2025-04-21 11:30:00+00:00,RANGE,0.013236,87120.23512,2025-04-21 12:00:00+00:00,SL,-19.923244689280285,-0.22817623636851403,9941.699099950862,0.5830090004913836
BTC,15m,GRID_BOT,SELL,86923.0,87120.23512,86521.96504,86970.6676,2,0.10081063757763815,19.883398199901723,3.0,405,2025-04-21 13:00:00+00:00,RANGE,0.013236,87120.23512,2025-04-21 13:15:00+00:00,SL,-19.883398199901723,-0.22690786098040508,9921.81570175096,0.7818429824903979
BTC,15m,GRID_BOT,SELL,86963.3,87272.54868667,86303.09740667,87030.18586667,2,0.06416722934923143,19.84363140350192,3.0,423,2025-04-21 17:30:00+00:00,RANGE,0.024005,87272.54868667,2025-04-21 19:15:00+00:00,SL,-19.84363140350192,-0.35560827000584266,9901.972070347458,0.980279296525423
