symbol,direction,entry_price,exit_price,entry_ts,qty,notional,pnl,reason,score
SLV,BUY,29.28499984741211,29.01009949945036,2024-05-29 15:30:00+00:00,8.002900019268454,234.36492584313103,-2.1999999999999993,SL,73
SLV,SELL,28.520000457763672,27.980653159431466,2024-05-31 13:30:00+00:00,8.884071570983693,253.37372527126016,4.791600000000014,TP,73
SLV,SELL,27.846099853515625,28.131110758974025,2024-05-31 14:30:00+00:00,7.809932733696347,217.47616675174874,-2.2259159999999896,SL,73
SLV,SELL,27.98509979248047,27.396647069899185,2024-06-03 16:30:00+00:00,8.238631349573426,230.55892047127037,4.8480450479999995,TP,83
SLV,BUY,27.80500030517578,28.311731842892005,2024-06-06 13:30:00+00:00,9.777765286499129,271.87076677504547,4.954702039056017,TP,73
SLV,BUY,27.2549991607666,26.996049263438465,2024-06-12 13:30:00+00:00,8.888531467359105,242.25691768331993,-2.3016843108705514,SL,73
SLV,BUY,27.209999084472656,26.944999438201698,2024-06-21 13:30:00+00:00,8.598756639214395,233.97216028062687,-2.278667467761867,SL,85
SLV,BUY,26.829999923706055,27.232319041594266,2024-07-02 15:30:00+00:00,12.335823787932268,330.97015128907407,4.962937744785326,TP,68
SLV,BUY,28.649999618530273,28.403649632067275,2024-07-05 15:30:00+00:00,9.358677886017917,268.12611786436105,-2.30551017053208,SL,65
SLV,BUY,28.45050048828125,28.22829390078551,2024-07-08 13:30:00+00:00,10.27177049317017,292.23701143145087,-2.2824550688267866,SL,65
SLV,BUY,27.929500579833984,28.478801749685786,2024-07-08 15:30:00+00:00,9.05002103171544,252.76256765280613,4.971187139904702,TP,95
SLV,BUY,28.6200008392334,28.393936864365646,2024-07-11 13:30:00+00:00,10.21543742601406,292.36582770565866,-2.3093423895375422,SL,73
SLV,BUY,28.166000366210938,27.90791113083095,2024-07-12 13:30:00+00:00,8.858366224674638,249.50474632821647,-2.286248965642184,SL,80
SLV,BUY,28.295000076293945,28.07674624268075,2024-07-15 14:30:00+00:00,10.37043170566745,293.43136590306165,-2.2633864759857656,SL,70
SLV,BUY,28.600000381469727,28.405178942316446,2024-07-16 19:30:00+00:00,11.50157098194381,328.94493447109414,-2.240752611225898,SL,83
SLV,SELL,27.825000762939453,27.27318292762179,2024-07-17 13:30:00+00:00,8.844149055893658,246.08845422779126,4.880359187249997,TP,73
