asset,timeframe,strategy,direction,entry,sl,tp,size,risk,rr,entry_bar,entry_time,regime,exit,exit_time,close_reason,pnl,pnl_pct,balance_after,drawdown_pct,bars_open
INJ,15m,TREND_MOMENTUM,SELL,6.32,6.498884652677426,5.972168730905005,559.0194491437182,100.0,1.9444444444444475,259,2025-11-05 01:00:00+00:00,TREND_DOWN,6.498884652677426,2025-11-05 02:00:00+00:00,SL,-100.0,-2.830453365149144,9900.0,1.0,2025-11-05 02:00:00+00:00
INJ,15m,TREND_MOMENTUM,SELL,6.484,6.564538821322504,6.327396736317353,1229.220869815953,99.0,1.9444444444444469,357,2025-11-06 01:30:00+00:00,TREND_DOWN,6.564538821322504,2025-11-06 02:30:00+00:00,SL,-98.99999999999999,-1.242116306639482,9801.0,1.9900000000000002,2025-11-06 02:30:00+00:00
INJ,15m,TREND_MOMENTUM,SELL,6.428,6.510689198564321,6.267215447236042,1185.2817744237993,98.01,1.9444444444444529,374,2025-11-06 05:45:00+00:00,TREND_DOWN,6.267215447236042,2025-11-06 12:15:00+00:00,TP,190.57500000000084,2.5013153821399774,9991.575,0.08424999999999273,2025-11-06 12:15:00+00:00
INJ,15m,TREND_MOMENTUM,SELL,6.275,6.35624140259478,6.117030606065706,1229.8624446252456,99.91575,1.9444444444444438,400,2025-11-06 12:15:00+00:00,TREND_DOWN,6.35624140259478,2025-11-06 13:15:00+00:00,SL,-99.91575,-1.2946837066897223,9891.65925,1.0834074999999939,2025-11-06 13:15:00+00:00
INJ,15m,TREND_MOMENTUM,SELL,6.22,6.347015970311231,5.9730245021726045,778.7728760219788,98.91659250000001,1.9444444444444502,413,2025-11-06 15:30:00+00:00,TREND_DOWN,6.347015970311231,2025-11-06 18:45:00+00:00,SL,-98.91659250000001,-2.0420574005021135,9792.7426575,2.0725734249999914,2025-11-06 18:45:00+00:00
INJ,15m,BREAKOUT,BUY,7.613,7.4985476910164985,7.956356926950505,855.6177454586441,97.92742657500001,2.9999999999999925,519,2025-11-07 18:00:00+00:00,BREAKOUT_UP,7.956356926950505,2025-11-07 21:45:00+00:00,TP,293.7822797249993,4.51013958952456,10086.524937225,0.0,2025-11-07 21:45:00+00:00
INJ,15m,BREAKOUT,BUY,8.775,8.585788849106576,9.342633452680273,533.0830075076482,100.86524937225,3.0,553,2025-11-08 02:30:00+00:00,BREAKOUT_UP,8.585788849106576,2025-11-08 02:45:00+00:00,SL,-100.86524937225002,-2.1562524318338943,9985.65968785275,0.9999999999999931,2025-11-08 02:45:00+00:00
INJ,15m,TREND_MOMENTUM,SELL,7.513,7.689449453163179,7.169903841071596,565.9218268371795,99.85659687852751,1.9444444444444475,600,2025-11-08 14:15:00+00:00,TREND_DOWN,7.169903841071596,2025-11-09 02:45:00+00:00,TP,194.16560504158159,4.566699839323889,10179.825292894333,0.0,2025-11-09 02:45:00+00:00
INJ,15m,TREND_MOMENTUM,SELL,7.203,7.310516463917396,6.993940209049508,946.8154849954375,101.79825292894333,1.9444444444444555,651,2025-11-09 03:00:00+00:00,TREND_DOWN,7.310516463917396,2025-11-09 07:45:00+00:00,SL,-101.79825292894333,-1.4926622784589136,10078.02703996539,1.000000000000005,2025-11-09 07:45:00+00:00
INJ,15m,TREND_MOMENTUM,SELL,7.148,7.247586978819479,6.954358652295458,1011.9824056751211,100.78027039965389,1.9444444444444355,678,2025-11-09 09:45:00+00:00,TREND_DOWN,7.247586978819479,2025-11-09 11:00:00+00:00,SL,-100.78027039965389,-1.3932145889686514,9977.246769565736,1.9899999999999969,2025-11-09 11:00:00+00:00
