asset,entry_date,exit_date,strike,entry_price,premium_usd,margin_usd,pnl,reason,iv_rank,hv30
BTC,2024-05-18,2024-05-20,62230.02,66914.0,20.736935003965847,669.1400000000001,19.871226468866524,PROFIT_LOCK,50.581843266273665,47.8891691350413
BTC,2024-05-19,2024-05-20,61630.541999999994,66269.4,20.72373195826758,662.6940000000001,19.605074489939593,PROFIT_LOCK,53.097592211510324,47.8891691350413
BTC,2024-05-20,2024-05-23,66403.116,71401.2,31.68107020143689,714.0120000000001,-39.16810731398909,STOP_2X,100.0,48.12326049316277
BTC,2024-05-21,2024-05-27,65234.75699999999,70144.9,31.90083700355899,701.4490000000001,31.588134355961433,PROFIT_LOCK,100.0,47.23399374283313
BTC,2024-05-23,2024-05-27,63213.123,67971.1,30.626072712163296,679.7110000000002,29.201814802570905,PROFIT_LOCK,98.09525856664655,47.23399374283313
BTC,2024-05-28,2024-06-01,63616.743,68405.1,29.50154554311503,684.0510000000002,23.69888820507272,PROFIT_LOCK,89.27640305427883,43.18342713525365
BTC,2024-05-27,2024-06-02,64569.435,69429.5,29.486124244327584,694.2950000000002,29.037700196246725,PROFIT_LOCK,86.23272071855419,39.51909823710477
BTC,2024-05-29,2024-06-02,62918.219999999994,67654.0,29.341558348174114,676.5400000000001,27.710468202741325,PROFIT_LOCK,90.3919275651771,39.51909823710477
BTC,2024-06-01,2024-06-03,63018.380999999994,67761.7,21.317519198205446,677.6170000000001,17.966201384808507,PROFIT_LOCK,32.19944029868117,39.49774045550268
BTC,2024-06-30,2024-07-03,58375.541999999994,62769.4,2.411283411368504,627.6940000000002,-10.653814955471125,STOP_2X,24.373747622787757,28.073163815283042
BTC,2024-07-01,2024-07-03,58496.814,62899.8,2.4053362790900112,628.9980000000002,-17.898198761878735,STOP_2X,24.29929458553909,28.073163815283042
BTC,2024-07-02,2024-07-03,57787.224,62136.8,2.4456949686306646,621.3680000000002,-10.936368082235663,STOP_2X,24.774066908642187,28.073163815283042
BTC,2024-07-03,2024-07-04,55998.369,60213.3,2.7196046018490962,602.1330000000002,-41.54962293059307,STOP_2X,27.11437814375885,30.1328129844697
BTC,2024-07-04,2024-07-06,53061.708,57055.6,3.8146116492485365,570.556,3.4316721191389266,PROFIT_LOCK,34.54862124093318,31.52131223921815
BTC,2024-07-05,2024-07-06,52665.528,56629.6,3.563003888185085,566.296,3.0980707706082966,PROFIT_LOCK,33.31627442569898,31.52131223921815
