symbol,direction,entry_price,exit_price,entry_ts,qty,notional,pnl,reason,score
NVDA,SELL,109.50309753417969,111.55380267865961,2024-05-31 13:30:00+00:00,1.0728017169713342,117.47511104834744,-2.2000000000000064,SL,73
NVDA,BUY,114.6199951171875,119.61978268963918,2024-06-04 13:30:00+00:00,1.0890462686857734,124.8264779991546,5.445000000000003,TP,108
NVDA,BUY,119.71820068359375,124.41585241545474,2024-06-05 13:30:00+00:00,1.1880669999751163,142.23324352857614,5.581124999999992,TP,73
NVDA,BUY,121.08900451660156,119.03441135659892,2024-06-06 13:30:00+00:00,1.113729615451975,134.86041043573712,-2.2882612499999975,SL,88
NVDA,BUY,119.77950286865234,117.66523153046133,2024-06-06 16:30:00+00:00,1.0714701545537064,128.34016245104104,-2.2653786375000005,SL,88
NVDA,BUY,119.93000030517578,125.24794666698767,2024-06-10 13:30:00+00:00,1.054319044673889,126.44448334949215,5.606812127812497,TP,95
NVDA,BUY,126.83999633789062,124.62528743202888,2024-06-12 13:30:00+00:00,1.0379661933533744,131.65562816379628,-2.298792972403128,SL,73
NVDA,BUY,125.6500015258789,130.77859898287946,2024-06-12 17:30:00+00:00,1.1093700869292287,139.392353115422,5.689512606697724,TP,93
NVDA,BUY,132.6396942138672,130.43772216377744,2024-06-14 13:30:00+00:00,1.0593686548614405,140.51433444057727,-2.332700168746068,SL,73
NVDA,BUY,130.68040466308594,136.3072370605238,2024-06-14 14:30:00+00:00,1.0260538274208086,134.0851293734594,5.773432917646512,TP,100
NVDA,BUY,138.15159606933594,136.0710833582918,2024-06-20 13:30:00+00:00,1.1377519991440495,157.18225461282816,-2.367107496235088,SL,73
NVDA,BUY,134.14500427246094,131.79459313880741,2024-06-20 15:30:00+00:00,0.9970325564404758,133.74693654349028,-2.343436421272729,SL,102
NVDA,BUY,131.24000549316406,128.71291265194694,2024-06-20 16:30:00+00:00,0.9180517704852591,120.4851194014944,-2.320002057060006,SL,80
