symbol,direction,entry_price,exit_price,entry_ts,qty,notional,pnl,reason,score
NVDA,BUY,114.6199951171875,119.61978268963918,2024-06-04 13:30:00+00:00,1.1000467360462358,126.0873515142976,5.5000000000000036,TP,108
NVDA,BUY,119.71820068359375,124.41585241545474,2024-06-05 13:30:00+00:00,1.2000676767425418,143.66994295815772,5.637499999999992,TP,73
NVDA,BUY,121.08900451660156,119.03441135659892,2024-06-06 13:30:00+00:00,1.1249794095474495,136.22263680377486,-2.3113749999999973,SL,88
NVDA,BUY,119.77950286865234,117.66523153046133,2024-06-06 16:30:00+00:00,1.0822930854077846,129.63652772832432,-2.2882612500000015,SL,88
NVDA,BUY,119.93000030517578,125.24794666698767,2024-06-10 13:30:00+00:00,1.0649687319938275,127.7217003530224,5.663446593749998,TP,95
NVDA,BUY,126.83999633789062,124.62528743202888,2024-06-12 13:30:00+00:00,1.0484507003569439,132.98548299373363,-2.322013103437503,SL,73
NVDA,BUY,125.6500015258789,130.77859898287946,2024-06-12 17:30:00+00:00,1.1205758453830594,140.80035668224446,5.746982431007803,TP,93
NVDA,BUY,132.6396942138672,130.43772216377744,2024-06-14 13:30:00+00:00,1.0700693483448895,141.93367115209827,-2.3562627967132,SL,73
NVDA,BUY,130.68040466308594,136.3072370605238,2024-06-14 14:30:00+00:00,1.0364180074957663,135.43952461965597,5.831750421865164,TP,100
NVDA,BUY,138.15159606933594,136.0710833582918,2024-06-20 13:30:00+00:00,1.149244443579848,158.76995415437187,-2.3910176729647357,SL,73
NVDA,BUY,134.14500427246094,131.79459313880741,2024-06-20 15:30:00+00:00,1.0071035923641172,135.09791570049526,-2.3671074962350804,SL,102
NVDA,BUY,131.24000549316406,128.71291265194694,2024-06-20 16:30:00+00:00,0.927325020692181,121.70214080959032,-2.3434364212727337,SL,80
NVDA,SELL,120.88999938964844,124.17569211473032,2024-06-24 13:30:00+00:00,0.7060922159123025,85.35948755067376,-2.3200020570600013,SL,73
