2026-04-24 22:06:09.309 | INFO     | core.poly_strategy_hub:_init_strategies:69 - POLY HUB: SignalBasedPolyStrategy loaded
2026-04-24 22:06:09.325 | INFO     | core.poly_strategy_hub:_init_strategies:78 - POLY HUB: TailEndPolyStrategy loaded
2026-04-24 22:06:09.339 | INFO     | core.poly_strategy_hub:_init_strategies:87 - POLY HUB: LateEntryPolyStrategy loaded
2026-04-24 22:06:09.375 | INFO     | core.poly_strategy_hub:_init_strategies:96 - POLY HUB: LeggedArbPolyStrategy loaded
2026-04-24 22:06:09.466 | INFO     | core.poly_strategy_hub:_init_strategies:105 - POLY HUB: CombinatorialArbPolyStrategy loaded
2026-04-24 22:06:09.466 | INFO     | core.poly_strategy_hub:_init_strategies:109 - POLY HUB: 5 strategies active: ['signal_based', 'tail_end', 'late_entry', 'legged_arb', 'combinatorial']
2026-04-24 22:06:09.488 | INFO     | __main__:main:156 - === POLYMARKET AGENT STARTED (PAPER) === Session: POLY_SESSION_003 Balance: $748.56
2026-04-24 22:06:10.501 | WARNING  | data.polymarket_feed:get_price:209 - POLY FEED: Price error for 245431929489...: PolyApiException[status_code=404, error_message={'error': 'No orderbook exists for the requested token id'}]
2026-04-24 22:06:11.966 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 4 qualifying markets
2026-04-24 22:06:11.984 | INFO     | __main__:main:194 - Cycle 1: Scanned 4 markets, saved 4
2026-04-24 22:06:13.045 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $77,000 @ 21.0% < Threshold $78,000 @ 27.5% [VIOLACIÓN 6.5%] → Buy NO of high market | "Will the price of Bitcoin be above $78,000 on April 25?"
2026-04-24 22:06:13.045 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $77,000 @ 21.0% < Threshold $78,000 @ 80.0% [VIOLACIÓN 59.0%] → Buy NO of high market | "Will Bitcoin reach $78,000 April 20-26?"
2026-04-24 22:06:13.045 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $78,000 @ 27.5% < Threshold $78,000 @ 80.0% [VIOLACIÓN 52.5%] → Buy NO of high market | "Will Bitcoin reach $78,000 April 20-26?"
2026-04-24 22:06:13.045 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $75,000 @ 45.5% [VIOLACIÓN 25.5%] → Buy NO of high market | "Will Bitcoin dip to $75,000 in April?"
