2026-04-25 20:49:19.274 | INFO     | core.poly_strategy_hub:_init_strategies:69 - POLY HUB: SignalBasedPolyStrategy loaded
2026-04-25 20:49:19.289 | INFO     | core.poly_strategy_hub:_init_strategies:78 - POLY HUB: TailEndPolyStrategy loaded
2026-04-25 20:49:19.302 | INFO     | core.poly_strategy_hub:_init_strategies:87 - POLY HUB: LateEntryPolyStrategy loaded
2026-04-25 20:49:19.313 | INFO     | core.poly_strategy_hub:_init_strategies:105 - POLY HUB: CombinatorialArbPolyStrategy loaded
2026-04-25 20:49:19.313 | INFO     | core.poly_strategy_hub:_init_strategies:109 - POLY HUB: 4 strategies active: ['signal_based', 'tail_end', 'late_entry', 'combinatorial']
2026-04-25 20:49:19.335 | INFO     | __main__:main:156 - === POLYMARKET AGENT STARTED (PAPER) === Session: POLY_SESSION_004 Balance: $666.73
2026-04-25 20:49:19.492 | WARNING  | data.polymarket_feed:get_price:209 - POLY FEED: Price error for 985519353905...: PolyApiException[status_code=404, error_message={'error': 'No orderbook exists for the requested token id'}]
2026-04-25 20:49:22.109 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 5 qualifying markets
2026-04-25 20:49:22.138 | INFO     | __main__:main:194 - Cycle 1: Scanned 5 markets, saved 5
2026-04-25 20:49:23.277 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $75,000 @ 48.0% [VIOLACIÓN 28.0%] → Buy NO of high market | "Will Bitcoin dip to $75,000 in April?"
2026-04-25 20:49:23.277 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $76,000 @ 69.5% [VIOLACIÓN 49.5%] → Buy NO of high market | "Will the price of Bitcoin be between $76,000 and $78,000 on "
2026-04-25 20:49:23.278 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $76,000 @ 78.5% [VIOLACIÓN 58.5%] → Buy NO of high market | "Will the price of Bitcoin be above $76,000 on April 26?"
2026-04-25 20:49:23.278 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $77,000 @ 34.0% [VIOLACIÓN 14.0%] → Buy NO of high market | "Will Bitcoin dip to $77,000 on April 25?"
2026-04-25 20:49:23.278 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $78,000 @ 25.5% [VIOLACIÓN 5.5%] → Buy NO of high market | "Will the price of Bitcoin be above $78,000 on April 26?"
2026-04-25 20:49:23.278 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $78,000 @ 80.0% [VIOLACIÓN 60.0%] → Buy NO of high market | "Will Bitcoin reach $78,000 April 20-26?"
2026-04-25 20:49:23.278 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $80,000 @ 40.5% [VIOLACIÓN 20.5%] → Buy NO of high market | "Will Bitcoin reach $80,000 in April?"
2026-04-25 20:49:23.278 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $75,000 @ 48.0% < Threshold $76,000 @ 69.5% [VIOLACIÓN 21.5%] → Buy NO of high market | "Will the price of Bitcoin be between $76,000 and $78,000 on "
