2026-06-04 07:20:45.880 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 07:20:45.882 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 07:20:46.268 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 07:25:46.268 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #14 ---
2026-06-04 07:25:46.272 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 07:25:46.274 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 07:25:46.682 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 07:30:46.683 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #15 ---
2026-06-04 07:30:46.686 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 07:30:46.687 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 07:30:47.088 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 07:35:47.092 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #16 ---
2026-06-04 07:35:47.095 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 07:35:47.097 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 07:35:47.503 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 07:40:47.505 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #17 ---
2026-06-04 07:40:47.514 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 07:40:47.534 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 07:40:47.945 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 07:45:47.945 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #18 ---
2026-06-04 07:45:47.947 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 07:45:47.948 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 07:45:48.359 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 07:50:48.359 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #19 ---
2026-06-04 07:50:48.363 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 07:50:48.365 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 07:50:48.773 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 07:55:48.774 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #20 ---
2026-06-04 07:55:48.776 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 07:55:48.777 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 07:55:49.193 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:00:49.193 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #21 ---
2026-06-04 08:00:49.197 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 08:00:49.202 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:00:50.436 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:05:50.437 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #22 ---
2026-06-04 08:05:50.452 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 08:05:50.462 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:05:58.116 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:10:58.118 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #23 ---
2026-06-04 08:10:58.120 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 08:10:58.123 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:10:58.512 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:15:58.512 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #24 ---
2026-06-04 08:15:58.516 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 08:15:58.518 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:15:58.919 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:20:58.919 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #25 ---
2026-06-04 08:20:58.922 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 08:20:58.923 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:21:09.367 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:26:09.368 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #26 ---
2026-06-04 08:26:09.369 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
