2026-05-21 01:48:34 | INFO    | Cycle 16368 | Open=0 | Wins=291/318 (91.5%) | P&L=$-162.92 | Bal=$337.08
2026-05-21 01:58:46 | INFO    | Cycle 16388 | Open=0 | Wins=291/318 (91.5%) | P&L=$-162.92 | Bal=$337.08
2026-05-21 02:08:59 | INFO    | Cycle 16408 | Open=0 | Wins=291/318 (91.5%) | P&L=$-162.92 | Bal=$337.08
2026-05-21 02:19:14 | INFO    | Cycle 16428 | Open=0 | Wins=291/318 (91.5%) | P&L=$-162.92 | Bal=$337.08
2026-05-21 02:28:22 | INFO    | SNIPE [BTC] UP entry=$0.9450 x8 move=+0.277%
2026-05-21 02:29:29 | INFO    | Cycle 16448 | Open=1 | Wins=291/318 (91.5%) | P&L=$-162.92 | Bal=$337.08
2026-05-21 02:31:31 | WARNING | ORACLE GAP [BTC] UP → UP | move=+0.1842% (below threshold 0.25%) | entry_move=+0.2766% | Kraken open=77868.8000 close=78012.2000 | outcome=WIN
2026-05-21 02:31:31 | INFO    | RESOLVED [BTC] SNIPE UP → WIN | P&L=$+0.4400
2026-05-21 02:39:38 | INFO    | Cycle 16468 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 02:49:53 | INFO    | Cycle 16488 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 03:00:07 | INFO    | Cycle 16508 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 03:10:16 | INFO    | Cycle 16528 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 03:20:30 | INFO    | Cycle 16548 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 03:30:46 | INFO    | Cycle 16568 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 03:40:54 | INFO    | Cycle 16588 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 03:51:06 | INFO    | Cycle 16608 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 04:01:21 | INFO    | Cycle 16628 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 04:11:28 | INFO    | Cycle 16648 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 04:21:44 | INFO    | Cycle 16668 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 04:31:58 | INFO    | Cycle 16688 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 04:42:06 | INFO    | Cycle 16708 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 04:52:21 | INFO    | Cycle 16728 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 05:02:34 | INFO    | Cycle 16748 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 05:12:42 | INFO    | Cycle 16768 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 05:22:57 | INFO    | Cycle 16788 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 05:33:12 | INFO    | Cycle 16808 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 05:43:21 | INFO    | Cycle 16828 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 05:53:34 | INFO    | Cycle 16848 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 06:03:51 | INFO    | Cycle 16868 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 06:14:04 | INFO    | Cycle 16888 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 06:19:39 | ERROR   | Cycle 16899 error: (psycopg2.OperationalError) SSL connection has been closed unexpectedly

[SQL: SELECT * FROM snipe_trades WHERE status='OPEN' ORDER BY timestamp_open]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-05-21 06:24:13 | INFO    | Cycle 16908 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 06:34:31 | INFO    | Cycle 16928 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 06:44:49 | INFO    | Cycle 16948 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 06:54:58 | INFO    | Cycle 16968 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 07:05:15 | INFO    | Cycle 16988 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 07:15:30 | INFO    | Cycle 17008 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 07:25:38 | INFO    | Cycle 17028 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 07:35:52 | INFO    | Cycle 17048 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 07:46:04 | INFO    | Cycle 17068 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 07:56:12 | INFO    | Cycle 17088 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 08:06:27 | INFO    | Cycle 17108 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 08:16:43 | INFO    | Cycle 17128 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
2026-05-21 08:26:50 | INFO    | Cycle 17148 | Open=0 | Wins=292/319 (91.5%) | P&L=$-162.48 | Bal=$337.52
