2026-04-28 17:34:41.603 | INFO     | core.poly_strategy_hub:_init_strategies:69 - POLY HUB: SignalBasedPolyStrategy loaded
2026-04-28 17:34:41.619 | INFO     | core.poly_strategy_hub:_init_strategies:78 - POLY HUB: TailEndPolyStrategy loaded
2026-04-28 17:34:41.619 | INFO     | core.poly_strategy_hub:_init_strategies:109 - POLY HUB: 2 strategies active: ['signal_based', 'tail_end']
2026-04-28 17:34:41.643 | INFO     | __main__:main:186 - === POLYMARKET AGENT STARTED (PAPER) === Session: POLY_SESSION_004 Balance: $672.15
2026-04-28 17:34:41.646 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 17:34:42.358 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.785
2026-04-28 17:34:44.807 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 17:34:46.113 | INFO     | __main__:main:388 - Cycle 1 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 17:39:46.118 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 17:39:46.851 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.790
2026-04-28 17:39:49.205 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 17:39:50.503 | INFO     | __main__:main:388 - Cycle 2 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 17:44:50.506 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 17:44:51.206 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 17:45:00.041 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 17:45:00.047 | INFO     | __main__:main:252 - Cycle 3: Scanned 1 markets, saved 1
2026-04-28 17:45:01.501 | INFO     | __main__:main:388 - Cycle 3 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 17:50:01.507 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 17:50:02.453 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 17:50:04.797 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 17:50:04.801 | INFO     | __main__:main:252 - Cycle 4: Scanned 1 markets, saved 1
2026-04-28 17:50:06.050 | INFO     | __main__:main:388 - Cycle 4 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 17:55:06.054 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 17:55:06.814 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 17:55:08.778 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 17:55:10.343 | INFO     | __main__:main:388 - Cycle 5 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:00:10.349 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:00:11.088 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 18:00:17.147 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 18:00:18.477 | INFO     | __main__:main:388 - Cycle 6 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:05:18.480 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:05:19.168 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.800
2026-04-28 18:05:21.095 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 18:05:22.385 | INFO     | __main__:main:388 - Cycle 7 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:10:22.389 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:10:23.122 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 18:10:25.110 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 18:10:25.114 | INFO     | __main__:main:252 - Cycle 8: Scanned 1 markets, saved 1
2026-04-28 18:10:26.355 | INFO     | __main__:main:388 - Cycle 8 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:15:26.360 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:15:27.105 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 18:15:29.182 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 18:15:30.495 | INFO     | __main__:main:388 - Cycle 9 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:20:30.499 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:20:31.228 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 18:20:33.709 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 18:20:34.987 | INFO     | __main__:main:388 - Cycle 10 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:25:34.991 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:25:35.716 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.800
2026-04-28 18:25:37.748 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 18:25:37.756 | INFO     | __main__:main:252 - Cycle 11: Scanned 1 markets, saved 1
2026-04-28 18:25:38.941 | INFO     | __main__:main:388 - Cycle 11 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:30:38.944 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:30:39.667 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 18:30:42.115 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 18:30:42.120 | INFO     | __main__:main:252 - Cycle 12: Scanned 1 markets, saved 1
2026-04-28 18:30:43.437 | INFO     | __main__:main:388 - Cycle 12 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:35:43.441 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:35:44.179 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 18:35:46.443 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 18:35:46.448 | INFO     | __main__:main:252 - Cycle 13: Scanned 1 markets, saved 1
2026-04-28 18:35:47.740 | INFO     | __main__:main:388 - Cycle 13 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:40:47.743 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:40:48.477 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 18:40:50.663 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 18:40:50.667 | INFO     | __main__:main:252 - Cycle 14: Scanned 1 markets, saved 1
2026-04-28 18:40:51.885 | INFO     | __main__:main:388 - Cycle 14 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:45:51.888 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:45:52.617 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 18:45:55.055 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 18:45:55.060 | INFO     | __main__:main:252 - Cycle 15: Scanned 1 markets, saved 1
2026-04-28 18:45:56.255 | INFO     | __main__:main:388 - Cycle 15 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:50:56.258 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:50:57.009 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 18:50:59.276 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 18:51:00.634 | INFO     | __main__:main:388 - Cycle 16 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 18:56:00.637 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 18:56:01.368 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 18:56:03.453 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 18:56:04.706 | INFO     | __main__:main:388 - Cycle 17 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:01:04.709 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:01:05.443 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 19:01:07.748 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 19:01:09.021 | INFO     | __main__:main:388 - Cycle 18 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:06:09.024 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:06:09.753 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 19:06:10.773 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 19:06:10.777 | INFO     | __main__:main:252 - Cycle 19: Scanned 1 markets, saved 1
2026-04-28 19:06:12.052 | INFO     | __main__:main:388 - Cycle 19 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:11:12.056 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:11:12.780 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 19:11:15.465 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 19:11:15.470 | INFO     | __main__:main:252 - Cycle 20: Scanned 1 markets, saved 1
2026-04-28 19:11:16.730 | INFO     | __main__:main:388 - Cycle 20 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:16:16.734 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:16:17.456 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 19:16:19.972 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 19:16:21.242 | INFO     | __main__:main:388 - Cycle 21 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:21:21.246 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:21:21.972 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 19:21:24.373 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 19:21:25.660 | INFO     | __main__:main:388 - Cycle 22 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:26:25.664 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:26:26.364 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.795
2026-04-28 19:26:28.769 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 19:26:30.012 | INFO     | __main__:main:388 - Cycle 23 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:31:30.017 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:31:30.747 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.785
2026-04-28 19:31:33.181 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 19:31:34.443 | INFO     | __main__:main:388 - Cycle 24 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:36:34.448 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:36:35.206 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.785
2026-04-28 19:36:37.635 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 19:36:38.836 | INFO     | __main__:main:388 - Cycle 25 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:41:38.842 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:41:39.652 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.785
2026-04-28 19:41:42.415 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 19:41:43.651 | INFO     | __main__:main:388 - Cycle 26 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:46:43.654 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:46:44.385 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.785
2026-04-28 19:46:46.432 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 0 qualifying markets
2026-04-28 19:46:47.624 | INFO     | __main__:main:388 - Cycle 27 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:51:47.627 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:51:48.370 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.785
2026-04-28 19:51:50.436 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 19:51:50.441 | INFO     | __main__:main:252 - Cycle 28: Scanned 1 markets, saved 1
2026-04-28 19:51:51.701 | INFO     | __main__:main:388 - Cycle 28 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 19:56:51.704 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 19:56:52.421 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.785
2026-04-28 19:56:54.644 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 19:56:54.648 | INFO     | __main__:main:252 - Cycle 29: Scanned 1 markets, saved 1
2026-04-28 19:56:55.885 | INFO     | __main__:main:388 - Cycle 29 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 20:01:55.888 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 20:01:56.610 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.785
2026-04-28 20:01:58.795 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 20:01:58.800 | INFO     | __main__:main:252 - Cycle 30: Scanned 1 markets, saved 1
2026-04-28 20:02:00.010 | INFO     | __main__:main:388 - Cycle 30 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 20:07:00.018 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 20:07:00.754 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.810
2026-04-28 20:07:02.734 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 20:07:02.740 | INFO     | __main__:main:252 - Cycle 31: Scanned 1 markets, saved 1
2026-04-28 20:07:04.160 | INFO     | __main__:main:388 - Cycle 31 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 20:12:04.164 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 20:12:04.952 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.820
2026-04-28 20:12:06.927 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 20:12:06.931 | INFO     | __main__:main:252 - Cycle 32: Scanned 1 markets, saved 1
2026-04-28 20:12:08.288 | INFO     | __main__:main:388 - Cycle 32 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 20:17:08.291 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 20:17:09.050 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.815
2026-04-28 20:17:11.145 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 1 qualifying markets
2026-04-28 20:17:11.149 | INFO     | __main__:main:252 - Cycle 33: Scanned 1 markets, saved 1
2026-04-28 20:17:12.539 | INFO     | __main__:main:388 - Cycle 33 complete | Evaluated: 0 | Executed: 0 | Open: 5 | Exposure: $89.80 | Balance: $672.15 | PnL: $-238.05 | Next scan in 300s
2026-04-28 20:22:12.543 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 32.8% >= 20% pero aún hay 5 posiciones abiertas. Esperando cierre.
2026-04-28 20:22:13.278 | INFO     | agents.poly_monitor:_evaluate_position:153 - POLY TRAILING: "Will Bitcoin dip to $72,000 April 27-May 3?" nuevo high=0.815
