2026-05-19 07:45:16.651 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 07:50:16.651 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2592 ---
2026-05-19 07:50:16.662 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 07:50:17.345 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0049BTC (-69%) | AY26-67000-P @0.0017BTC (+6%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 07:50:17.345 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 07:55:17.346 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2593 ---
2026-05-19 07:55:17.351 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 07:55:17.772 | INFO     | strategies.theta_farming:evaluate:198 - THETA: max posiciones abiertas (2/2) — skip
2026-05-19 07:55:17.772 | INFO     | agents.options_agent:_scan_new_entry:284 - SCAN: sin señal de theta farming
2026-05-19 07:55:24.999 | INFO     | agents.options_agent:_save_iv_snapshot:393 - IV SNAPSHOT: 20 instrumentos guardados
2026-05-19 07:55:25.273 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0049BTC (-69%) | AY26-67000-P @0.0017BTC (+6%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 07:55:25.274 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:00:25.274 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2594 ---
2026-05-19 08:00:25.277 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:00:26.003 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0049BTC (-69%) | AY26-67000-P @0.0017BTC (+6%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 08:00:26.956 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:05:26.959 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2595 ---
2026-05-19 08:05:26.967 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:05:27.730 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0050BTC (-72%) | AY26-67000-P @0.0017BTC (+6%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 08:05:27.731 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:10:27.731 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2596 ---
2026-05-19 08:10:27.737 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:10:28.455 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0051BTC (-76%) | AY26-67000-P @0.0018BTC (+0%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
